OBJECTID,C,max,median,min,sd_stdDev,aspect,elevation,hillshade,slope,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,B10
A1650EQ,14.07,13710,14935.2,15708,409.272620610429,236,1714,212,12,1457.9,2381.66666666667,1709.16666666667,1447.83333333333,1458.21428571429,1588.57142857143,1709,2225.35,2507.85,2574.66666666667,1196.25,23
A1715EQ,386,13710,14935.2,15708,409.272620610429,236,1714,212,12,1307.83333333333,1932.75,1432.5,1186,1182,1271,1382,1712.25,1899,1870,1071.9375,20
A1800EQ,4.76,13630,14878,15613,422.478873981125,295,1809,222,15,1178.66666666667,1769.5,1177.5,1067,1034.5,1040.16666666667,1253,1848.5,2073,1988.25,1005.55555555556,21
A1830EQ,3.18,13776,14870,15635,434.639046427636,221,1934,210,15,1233.42857142857,1334.33333333333,887.222222222222,971.285714285714,917.9,807.5,1105.18181818182,1707.16666666667,1901.25,1873.33333333333,1003.16666666667,22
A1850EQ,2.14,13776,14870,15635,434.639046427636,294,1505,239,21,1325.5,1714.71428571429,1255,1131.08333333333,1164.125,1262.5,1426.7,1649.4,1780,1693.75,901.3,23
A2304EC,3.43,13361,14808.75,15665,548.696939606497,213,2333,193,8,1364,1901.5,1413.5,1293.5,1330.5,1448,1528.5,1760,1857.5,1864.5,1195,56
A2355ED,2.28,13277,14793,15677,583.135726078144,214,2458,203,13,1355,1778,1274,1227,1222,1350.5,1470,1795,1927,1886,1232.5,50.5
A2425WC,2.78,13276,14760.75,15530,529.617988179568,250,2422,202,7,1358.41176470588,2062.75,1517,1266,1306,1492,1685.83333333333,1892.16666666667,2006.625,1979,1319.4,63
A2435EC,3.53,13277,14793,15677,583.135726078144,214,2458,203,13,1447,1775,1381.5,1399,1381.5,1513.5,1684,1851,1951,1917.5,1234,67
A2498WC,2.17,13276,14760.75,15530,529.617988179568,157,2347,168,10,1242.08333333333,2112,1424,1167,1201,1333,1549.1875,1877,2061.28571428571,2143,1424.66666666667,68
A2594WC,2.36,13234,14790,15549,592.066787300585,100,2582,154,8,1300.92307692308,1968.6,1364,1129,1115.86363636364,1249,1384.04166666667,1635.5,1757.25,1752,1196.75,60
A2692EC,2.53,13151,14692,15607,675.841754505472,195,2750,183,3,1550.5,1776,1312.5,1319,1345.5,1472.5,1597,1835,1936.5,1957.5,1198,74
A2720WC,1.07,13076,14741.5,15593,634.454597741305,127,2726,152,11,1386.5,1840,1365.88888888889,1340,1381,1506,1628.05555555556,1827.83333333333,1883.1875,1844,1259.5,76
A2737EA,2.95,13151,14692,15607,675.841754505472,195,2750,183,3,1879,1801.5,1342,1704,1724.5,1896.5,2015,2259,2349.5,2197,1318.5,96
A2765EA,2.29,13151,14692,15607,675.841754505472,195,2750,183,3,2042.5,1678,1201.5,1516.5,1468,1533,1612.5,1847.5,1933,1870,1333,102
A2768ED,0.80,13074,14597.5,15583,695.67868677294,347,2774,194,19,1987.5,1560,1156,1500,1481.5,1563,1690.5,1888,1940.5,1899.5,1050.5,79
A2800WC,1.88,13076,14754.1666666667,15534,626.791660190413,201,2871,191,10,1711,1754,1269,1791,1822,1986.5,1794.5,2006,2144.5,2181,1329.75,80
A2900WC,6.95,13076,14754.1666666667,15534,626.791660190413,201,2871,191,10,1632.5,1746.14285714286,1261.66666666667,1351.5,1388.5,1505.4,1557.8,1825.125,1942.5,1901.625,1337.5,94
