system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B8_1,B9,LSTmax,LSTmedian,LSTmin,OBJECTID,SIndmax,SIndmedian,SIndmin,aspect,elevation,hillshade,ndvimax,ndvimedian,ndvimin,sd_stdDev,sd_stdDev_1,sd_stdDev_2,slope
2,1.5535E+14,4.3E+14,2.3325E+15,1.7005E+15,1.4815E+15,1.448E+16,1.5495E+16,1.5595E+16,2.2155E+16,2.453E+16,2.53882E+16,2.62E+15,2.574E+15,1.1615E+16,157080,149000,137100,A1650EQ,1.31931E+16,3.66321E+15,-8.89967E+15,2360,17140,2120,3.19011E+16,2.49735E+15,1.64538E+16,4.23605E+16,2.64643E+16,3.51547E+16,120
4,1.217E+15,3.4E+16,1.327E+16,8.385E+15,9.46E+15,8.29E+15,7.365E+15,9.51E+15,1.631E+14,1.844E+16,4.21104E+16,1.989E+15,1.7765E+16,9.545E+15,156130,148270,136300,A1800EQ,4.81036E+16,6.58836E+14,-4.12191E+16,2950,18090,2220,4.78407E+16,3.45493E+15,1.78119E+16,4.35276E+16,8.19162E+14,6.7879E+15,150
5,1.2465E+15,4.2E+14,1.037E+16,6.415E+15,8.77E+14,7.28E+15,5.98E+15,9.595E+15,1.6655E+16,1.898E+16,5.30487E+15,2.0135E+16,1.8575E+16,1.0085E+16,156350,148195,137760,A1830EQ,4.8368E+16,1.6343E+15,4.01554E+16,2210,19340,2100,5.42034E+15,4.14716E+15,6.52222E+15,4.44595E+15,7.46775E+15,1.03967E+16,150
43,1.3755E+15,5.55E+15,1.9595E+15,1.3345E+15,1.2575E+16,1.2135E+13,1.3525E+15,1.5505E+16,1.887E+16,2.0185E+16,2.00302E+15,2.174E+16,2.029E+15,1.377E+16,156430,1473325,132210,C2583EC,9.02076E+15,-1.80395E+14,-1.42149E+16,2360,26830,2200,2.44974E+16,1.81946E+16,-7.08947E+14,6.14404E+15,2.3954E+15,7.78662E+15,160
36,1.389E+15,6.6E+15,2.1085E+16,1.366E+16,1.346E+16,1.336E+16,1.469E+15,1.719E+16,2.0875E+16,2.26E+16,2.00573E+16,2.362E+15,2.185E+16,1.4435E+16,155300,147035,132760,E2480WC,7.33069E+15,1.18357E+16,-3.00126E+16,1570,23470,1680,2.63246E+16,2.00416E+15,1.19602E+16,5.36003E+15,2.51156E+16,3.4009E+15,100
21,1.446E+15,4.85E+16,1.593E+16,1.122E+16,1.2205E+16,1.142E+16,1.1895E+15,1.316E+15,1.5775E+15,1.6625E+16,1.57056E+16,1.7695E+16,1.6685E+15,1.019E+16,156640,1.48223E+16,133960,C2190EC,7.02434E+15,1.12362E+16,-3.4749E+15,2270,22530,2030,2.42403E+15,1.54463E+16,6.55595E+14,5.30634E+15,2.21321E+16,3.33761E+15,100
,1.899E+15,9.8E+15,1.639E+15,1.159E+16,1.75E+16,1.75E+16,1.956E+15,2.024E+16,2.243E+16,2.345E+15,7.98122E+15,2.299E+16,2.064E+16,1.286E+16,156070,146645,131510,#DIV/0!,9.02558E+15,2.01984E+16,-8.92594E+15,1950,27500,1830,2.09782E+15,8.68714E+14,-4.50125E+15,6.81756E+15,2.80059E+15,6.14463E+16,30
65,1.9275E+15,5.9E+15,1.567E+14,1.252E+16,1.907E+15,1.815E+16,2.061E+15,2.0535E+16,2.0915E+16,2.163E+16,-1.1782E+15,2.1025E+16,2.013E+15,1.168E+16,153970,144095,129650,A3075WD,8.67379E+15,4.48004E+16,2.58118E+16,1130,30630,1370,5.07132E+16,2.63648E+16,-8.38794E+15,6.42122E+15,1.68184E+15,2.99507E+15,150
66,1.9755E+15,6.7E+16,1.665E+15,1.3185E+14,1.894E+16,1.91E+16,2.078E+15,2.0945E+16,2.207E+15,2.279E+16,2.82908E+16,2.225E+15,2.199E+15,1.4495E+15,153170,144065,129650,A3170WC,9.24466E+15,-3.31308E+16,-1.97239E+15,1490,29750,1610,3.99339E+15,2.9785E+16,-9.98464E+15,6.3764E+14,2.30319E+16,2.86567E+16,120
45,2.0325E+15,5.95E+15,1.2215E+15,7.875E+15,1.395E+16,1.306E+15,1.3615E+16,1.628E+16,1.8635E+15,1.9935E+15,1.75208E+13,2.063E+16,1.925E+16,1.498E+16,155490,146940,132340,A2594WC,4.93304E+15,-6.14938E+15,-8.94621E+15,1000,25820,1540,2.31527E+16,1.70482E+16,-1.29615E+16,6.02448E+15,1.28153E+16,4.75268E+14,80
